iter	Passed	Remaining
0	7	7236
1	14	7332
2	20	6940
3	27	6793
4	34	6896
5	40	6776
6	47	6719
7	53	6690
8	60	6630
9	66	6604
10	73	6575
11	79	6541
12	85	6507
13	91	6477
14	98	6461
15	104	6435
16	111	6428
17	117	6411
18	123	6384
19	130	6382
20	136	6371
21	142	6352
22	149	6329
23	155	6305
24	161	6302
25	167	6293
26	174	6274
27	180	6275
28	187	6266
29	193	6261
30	199	6250
31	206	6241
32	212	6237
33	219	6231
34	225	6229
35	232	6220
36	238	6209
37	245	6202
38	251	6192
39	258	6214
40	265	6220
41	272	6211
42	278	6207
43	285	6202
44	292	6206
45	299	6202
46	305	6190
47	311	6184
48	318	6173
49	325	6191
50	332	6193
51	339	6181
52	345	6182
53	352	6168
54	358	6155
55	364	6146
56	370	6135
57	377	6126
58	383	6114
59	390	6111
60	396	6098
61	402	6088
62	408	6079
63	414	6069
64	421	6056
65	427	6048
66	433	6037
67	439	6028
68	446	6018
69	452	6008
70	458	5999
71	464	5991
72	471	5982
73	477	5976
74	485	5993
75	495	6022
76	501	6017
77	508	6009
78	514	6000
79	521	5994
80	527	5985
81	533	5976
82	540	5966
83	546	5955
84	552	5948
85	559	5942
86	565	5932
87	572	5928
88	578	5919
89	585	5915
90	591	5908
91	597	5899
92	603	5889
93	610	5881
94	616	5873
95	622	5863
96	628	5854
97	637	5867
98	644	5862
99	651	5861
100	657	5852
101	663	5842
102	670	5838
103	677	5838
104	685	5839
105	691	5830
106	697	5823
107	704	5815
108	710	5806
109	716	5796
110	722	5787
111	729	5780
112	735	5775
113	742	5770
114	749	5766
115	755	5759
116	761	5750
117	768	5744
118	775	5742
119	781	5734
120	789	5732
121	795	5723
122	801	5715
123	807	5708
124	814	5700
125	821	5695
126	828	5696
127	834	5688
128	841	5678
129	847	5670
130	853	5661
131	859	5652
132	866	5645
133	872	5638
134	878	5630
135	885	5624
136	891	5616
137	897	5607
138	904	5599
139	910	5592
140	916	5585
141	923	5577
142	929	5570
143	936	5565
144	942	5557
145	950	5558
146	957	5555
147	964	5552
148	970	5545
149	977	5538
150	983	5530
151	990	5523
152	996	5516
153	1002	5508
154	1008	5500
155	1015	5492
156	1021	5485
157	1027	5476
