ID,recency,history_segment,history,mens,womens,zip_code,newbie,channel,segment,DM_category,Label,Score
60900,1,2) $100 - $200,185.83,0,1,Rural,1,Phone,Womens E-Mail,1,0,0.5961
60901,2,3) $200 - $350,233.67,1,0,Surburban,0,Web,Mens E-Mail,2,1,0.566
60902,9,2) $100 - $200,127.99,1,0,Surburban,0,Phone,Womens E-Mail,4,0,0.997
60903,1,1) $0 - $100,69.22,0,1,Rural,0,Phone,No E-Mail,5,0,0.7666
60904,12,2) $100 - $200,195.67,0,1,Surburban,0,Web,No E-Mail,5,0,0.9941
60905,7,1) $0 - $100,40.69,0,1,Surburban,1,Phone,Womens E-Mail,1,0,0.9651
60906,4,5) $500 - $750,639.17,1,0,Surburban,1,Web,No E-Mail,6,0,0.9754
60907,11,1) $0 - $100,97.16,1,0,Surburban,1,Phone,Womens E-Mail,4,0,0.9991
60908,1,2) $100 - $200,172.4,0,1,Urban,1,Web,No E-Mail,5,0,0.9021
60909,6,5) $500 - $750,553.47,0,1,Urban,1,Web,Mens E-Mail,3,0,0.5958
60910,5,1) $0 - $100,29.99,1,0,Surburban,1,Web,Mens E-Mail,2,0,0.9044
60911,1,1) $0 - $100,74.94,0,1,Urban,0,Phone,No E-Mail,5,0,0.9056
60912,1,2) $100 - $200,170.04,0,1,Rural,0,Phone,Mens E-Mail,3,1,0.591
60913,9,1) $0 - $100,29.99,1,0,Urban,1,Phone,Womens E-Mail,4,0,0.998
60914,2,1) $0 - $100,74.03,1,0,Urban,0,Phone,Mens E-Mail,2,0,0.7432
60915,9,3) $200 - $350,332.3,0,1,Urban,0,Web,Mens E-Mail,3,0,0.8763
60916,8,3) $200 - $350,322.69,0,1,Surburban,0,Web,Mens E-Mail,3,0,0.8619
60917,1,3) $200 - $350,218.32,0,1,Surburban,1,Phone,No E-Mail,5,0,0.8646
60918,8,1) $0 - $100,43.2,1,0,Rural,1,Web,Womens E-Mail,4,0,0.9891
60919,6,1) $0 - $100,81.8,1,0,Rural,0,Web,Mens E-Mail,2,0,0.6829
60920,3,5) $500 - $750,598.95,1,0,Urban,1,Phone,Womens E-Mail,4,0,0.8891
60921,5,1) $0 - $100,29.99,0,1,Urban,0,Phone,No E-Mail,5,0,0.9757
60922,6,4) $350 - $500,375.85,0,1,Surburban,0,Web,No E-Mail,5,0,0.7581
60923,10,1) $0 - $100,59.54,1,0,Urban,1,Web,Womens E-Mail,4,0,0.9968
60924,9,2) $100 - $200,144.49,0,1,Urban,1,Web,No E-Mail,5,0,0.9926
60925,1,2) $100 - $200,129.8,0,1,Surburban,0,Phone,Womens E-Mail,1,0,0.7399
60926,1,1) $0 - $100,47.28,0,1,Urban,0,Phone,No E-Mail,5,0,0.9057
60927,4,1) $0 - $100,29.99,0,1,Surburban,0,Phone,Womens E-Mail,1,0,0.8947
60928,7,1) $0 - $100,58.16,0,1,Surburban,1,Phone,Womens E-Mail,1,0,0.9651
60929,5,1) $0 - $100,46.68,0,1,Surburban,1,Web,No E-Mail,5,0,0.9739
60930,8,3) $200 - $350,336.78,0,1,Surburban,0,Phone,No E-Mail,5,0,0.9798
60931,11,2) $100 - $200,138.92,1,0,Rural,1,Web,Mens E-Mail,2,0,0.9655
60932,9,1) $0 - $100,29.99,1,0,Urban,0,Phone,No E-Mail,6,0,0.9992
60933,8,1) $0 - $100,53.37,1,0,Rural,1,Web,Womens E-Mail,4,0,0.9891
60934,10,2) $100 - $200,170.74,0,1,Surburban,1,Web,Mens E-Mail,3,0,0.965
60935,9,3) $200 - $350,276.19,1,0,Urban,0,Web,Mens E-Mail,2,0,0.9013
