ID,recency,history_segment,history,mens,womens,zip_code,newbie,channel,segment,DM_category,Label,Score
60900,1,2) $100 - $200,185.83,0,1,Rural,1,Phone,Womens E-Mail,1,0,0.3767
60901,2,3) $200 - $350,233.67,1,0,Surburban,0,Web,Mens E-Mail,2,1,0.5743
60902,9,2) $100 - $200,127.99,1,0,Surburban,0,Phone,Womens E-Mail,4,0,0.0032
60903,1,1) $0 - $100,69.22,0,1,Rural,0,Phone,No E-Mail,5,0,0.2932
60904,12,2) $100 - $200,195.67,0,1,Surburban,0,Web,No E-Mail,5,0,0.008
60905,7,1) $0 - $100,40.69,0,1,Surburban,1,Phone,Womens E-Mail,1,0,0.0311
60906,4,5) $500 - $750,639.17,1,0,Surburban,1,Web,No E-Mail,6,0,0.0169
60907,11,1) $0 - $100,97.16,1,0,Surburban,1,Phone,Womens E-Mail,4,0,0.0006
60908,1,2) $100 - $200,172.4,0,1,Urban,1,Web,No E-Mail,5,0,0.0883
60909,6,5) $500 - $750,553.47,0,1,Urban,1,Web,Mens E-Mail,3,0,0.3756
60910,5,1) $0 - $100,29.99,1,0,Surburban,1,Web,Mens E-Mail,2,0,0.0669
60911,1,1) $0 - $100,74.94,0,1,Urban,0,Phone,No E-Mail,5,0,0.1245
60912,1,2) $100 - $200,170.04,0,1,Rural,0,Phone,Mens E-Mail,3,1,0.6635
60913,9,1) $0 - $100,29.99,1,0,Urban,1,Phone,Womens E-Mail,4,0,0.0014
60914,2,1) $0 - $100,74.03,1,0,Urban,0,Phone,Mens E-Mail,2,0,0.2634
60915,9,3) $200 - $350,332.3,0,1,Urban,0,Web,Mens E-Mail,3,0,0.1613
60916,8,3) $200 - $350,322.69,0,1,Surburban,0,Web,Mens E-Mail,3,0,0.1792
60917,1,3) $200 - $350,218.32,0,1,Surburban,1,Phone,No E-Mail,5,0,0.1226
60918,8,1) $0 - $100,43.2,1,0,Rural,1,Web,Womens E-Mail,4,0,0.0074
60919,6,1) $0 - $100,81.8,1,0,Rural,0,Web,Mens E-Mail,2,0,0.3234
60920,3,5) $500 - $750,598.95,1,0,Urban,1,Phone,Womens E-Mail,4,0,0.0777
60921,5,1) $0 - $100,29.99,0,1,Urban,0,Phone,No E-Mail,5,0,0.0329
60922,6,4) $350 - $500,375.85,0,1,Surburban,0,Web,No E-Mail,5,0,0.3013
60923,10,1) $0 - $100,59.54,1,0,Urban,1,Web,Womens E-Mail,4,0,0.0022
60924,9,2) $100 - $200,144.49,0,1,Urban,1,Web,No E-Mail,5,0,0.0066
60925,1,2) $100 - $200,129.8,0,1,Surburban,0,Phone,Womens E-Mail,1,0,0.3244
60926,1,1) $0 - $100,47.28,0,1,Urban,0,Phone,No E-Mail,5,0,0.1243
60927,4,1) $0 - $100,29.99,0,1,Surburban,0,Phone,Womens E-Mail,1,0,0.1385
60928,7,1) $0 - $100,58.16,0,1,Surburban,1,Phone,Womens E-Mail,1,0,0.0311
60929,5,1) $0 - $100,46.68,0,1,Surburban,1,Web,No E-Mail,5,0,0.0234
60930,8,3) $200 - $350,336.78,0,1,Surburban,0,Phone,No E-Mail,5,0,0.0272
60931,11,2) $100 - $200,138.92,1,0,Rural,1,Web,Mens E-Mail,2,0,0.0235
60932,9,1) $0 - $100,29.99,1,0,Urban,0,Phone,No E-Mail,6,0,0.0008
60933,8,1) $0 - $100,53.37,1,0,Rural,1,Web,Womens E-Mail,4,0,0.0074
60934,10,2) $100 - $200,170.74,0,1,Surburban,1,Web,Mens E-Mail,3,0,0.0313
60935,9,3) $200 - $350,276.19,1,0,Urban,0,Web,Mens E-Mail,2,0,0.1018
60936,7,2) $100 - $200,152.93,1,0,Surburban,0,Web,No E-Mail,6,0,0.003
60937,2,2) $100 - $200,116.75,1,0,Urban,0,Web,Womens E-Mail,4,0,0.0578
60938,2,1) $0 - $100,29.99,1,0,Urban,0,Web,No E-Mail,6,0,0.0164
60939,9,1) $0 - $100,38.23,1,0,Urban,1,Web,No E-Mail,6,0,0.0006
60940,2,4) $350 - $500,426.52,0,1,Urban,0,Web,Womens E-Mail,1,1,0.8473
60941,10,5) $500 - $750,749.2,1,1,Urban,1,Phone,Womens E-Mail,5,0,0.0727
60942,3,1) $0 - $100,46,0,1,Urban,0,Phone,Mens E-Mail,3,0,0.337
60943,7,4) $350 - $500,429.46,0,1,Urban,0,Phone,Womens E-Mail,1,0,0.3816
60944,2,3) $200 - $350,205.54,0,1,Urban,0,Web,No E-Mail,5,0,0.3045
60945,10,1) $0 - $100,48.14,1,0,Urban,1,Phone,No E-Mail,6,0,0.0004
60946,1,3) $200 - $350,211.19,0,1,Rural,0,Web,Womens E-Mail,1,1,0.8408
60947,2,4) $350 - $500,408.8,0,1,Urban,0,Multichannel,Mens E-Mail,3,1,0.9299
60948,5,3) $200 - $350,213.9,1,1,Urban,1,Web,Womens E-Mail,5,0,0.1164
60949,3,3) $200 - $350,254.97,1,0,Urban,1,Multichannel,Mens E-Mail,2,0,0.4685
60950,7,3) $200 - $350,345.74,0,1,Urban,1,Phone,No E-Mail,5,0,0.0225
60951,5,2) $100 - $200,151.91,1,0,Urban,1,Web,Womens E-Mail,4,0,0.0075
60952,1,4) $350 - $500,451.07,1,0,Urban,0,Multichannel,Womens E-Mail,4,1,0.5293
60953,7,2) $100 - $200,175.92,0,1,Urban,1,Web,No E-Mail,5,0,0.0145
60954,7,4) $350 - $500,356.6,0,1,Surburban,0,Phone,Mens E-Mail,3,0,0.4472
60955,8,3) $200 - $350,299.93,0,1,Surburban,0,Web,Mens E-Mail,3,0,0.1764
60956,1,3) $200 - $350,214.7,0,1,Urban,1,Multichannel,Womens E-Mail,1,1,0.5739
60957,5,3) $200 - $350,298.48,1,0,Surburban,1,Phone,Womens E-Mail,4,0,0.0115
60958,4,1) $0 - $100,29.99,1,0,Urban,0,Phone,Mens E-Mail,2,0,0.121
60959,7,1) $0 - $100,29.99,0,1,Urban,1,Web,No E-Mail,5,0,0.0147
60960,11,1) $0 - $100,29.99,1,0,Surburban,1,Web,No E-Mail,6,0,0.0002
60961,3,1) $0 - $100,45.87,1,0,Surburban,1,Phone,Womens E-Mail,4,0,0.0146
60962,6,3) $200 - $350,228.79,0,1,Urban,1,Web,Mens E-Mail,3,0,0.2057
60963,2,"7) $1,000 +",1552.79,1,1,Surburban,1,Multichannel,No E-Mail,11,1,1
60964,11,1) $0 - $100,29.99,1,0,Urban,0,Web,Mens E-Mail,2,0,0.0195
60965,10,1) $0 - $100,54.5,0,1,Urban,1,Phone,Mens E-Mail,3,0,0.0196
60966,3,3) $200 - $350,249.61,0,1,Rural,1,Web,No E-Mail,5,0,0.33
60967,6,2) $100 - $200,155.75,0,1,Surburban,1,Phone,Mens E-Mail,3,0,0.0642
60968,9,3) $200 - $350,216.56,1,0,Surburban,0,Phone,Womens E-Mail,4,0,0.0074
60969,2,3) $200 - $350,260.81,1,0,Surburban,0,Web,Womens E-Mail,4,0,0.1307
60970,10,2) $100 - $200,182.25,0,1,Urban,1,Phone,No E-Mail,5,0,0.004
60971,7,2) $100 - $200,171.61,0,1,Surburban,0,Web,Womens E-Mail,1,0,0.107
60972,6,1) $0 - $100,93.13,0,1,Surburban,0,Phone,Mens E-Mail,3,0,0.1418
60973,10,3) $200 - $350,248.05,1,0,Rural,1,Multichannel,Mens E-Mail,2,0,0.1907
60974,1,"7) $1,000 +",1374.91,1,1,Surburban,1,Multichannel,Mens E-Mail,5,1,1
60975,6,3) $200 - $350,229.73,1,0,Surburban,0,Phone,Womens E-Mail,4,0,0.0248
60976,1,1) $0 - $100,70.73,0,1,Urban,0,Web,Womens E-Mail,1,0,0.4443
60977,3,5) $500 - $750,744.72,0,1,Urban,1,Multichannel,Womens E-Mail,1,1,0.7704
60978,1,1) $0 - $100,76.58,1,0,Urban,1,Phone,No E-Mail,6,0,0.0052
60979,2,3) $200 - $350,212.58,1,0,Urban,1,Multichannel,No E-Mail,6,0,0.0273
60980,6,3) $200 - $350,304.09,1,0,Urban,0,Multichannel,Mens E-Mail,2,0,0.4064
60981,11,1) $0 - $100,29.99,0,1,Surburban,0,Phone,Mens E-Mail,3,0,0.0197
60982,1,4) $350 - $500,493.48,0,1,Surburban,1,Multichannel,No E-Mail,5,1,0.6109
60983,7,2) $100 - $200,117.65,0,1,Surburban,0,Phone,Mens E-Mail,3,0,0.0923
60984,8,1) $0 - $100,30.15,1,0,Surburban,1,Phone,Mens E-Mail,2,0,0.0143
60985,11,"6) $750 - $1,000",767.98,0,1,Rural,1,Multichannel,No E-Mail,5,1,0.8993
60986,8,2) $100 - $200,101.74,0,1,Surburban,1,Phone,Womens E-Mail,1,0,0.0158
60987,9,3) $200 - $350,228,0,1,Surburban,1,Phone,Womens E-Mail,1,0,0.0326
60988,1,5) $500 - $750,628.15,1,0,Surburban,1,Web,Mens E-Mail,2,1,0.6443
60989,12,3) $200 - $350,204.22,1,0,Surburban,1,Web,Mens E-Mail,2,0,0.0231
60990,3,1) $0 - $100,93.54,1,0,Surburban,0,Phone,No E-Mail,6,0,0.0091
60991,11,1) $0 - $100,39.26,0,1,Surburban,0,Web,Womens E-Mail,1,0,0.0227
60992,3,2) $100 - $200,150.18,1,0,Surburban,1,Phone,Mens E-Mail,2,0,0.1166
60993,6,1) $0 - $100,29.99,1,0,Rural,1,Phone,Womens E-Mail,4,0,0.0136
60994,2,5) $500 - $750,565.12,1,0,Surburban,1,Multichannel,Womens E-Mail,4,0,0.2057
60995,10,4) $350 - $500,389.23,1,0,Urban,0,Phone,No E-Mail,6,0,0.0065
60996,10,1) $0 - $100,29.99,0,1,Urban,1,Phone,Mens E-Mail,3,0,0.0196
60997,5,3) $200 - $350,330.44,1,0,Rural,0,Multichannel,Womens E-Mail,4,0,0.185
60998,7,3) $200 - $350,271.97,1,0,Surburban,1,Phone,Mens E-Mail,2,0,0.0615
60999,5,2) $100 - $200,150.02,0,1,Rural,0,Phone,Mens E-Mail,3,0,0.319
61000,12,1) $0 - $100,48.24,0,1,Surburban,1,Web,Mens E-Mail,3,0,0.0167
61001,2,3) $200 - $350,284.97,1,0,Surburban,1,Multichannel,Womens E-Mail,4,0,0.102
61002,2,4) $350 - $500,449.49,1,0,Rural,1,Web,Womens E-Mail,4,0,0.4037
61003,9,4) $350 - $500,479.08,1,0,Urban,0,Multichannel,Mens E-Mail,2,0,0.4251
61004,3,5) $500 - $750,623.62,1,1,Urban,1,Phone,Womens E-Mail,5,0,0.3974
61005,4,3) $200 - $350,320.91,0,1,Surburban,0,Phone,No E-Mail,5,0,0.102
61006,4,2) $100 - $200,149.44,0,1,Surburban,0,Web,Mens E-Mail,3,0,0.263
61007,3,1) $0 - $100,29.99,1,0,Surburban,1,Phone,Womens E-Mail,4,0,0.0147
61008,7,3) $200 - $350,348.78,0,1,Rural,1,Phone,No E-Mail,5,0,0.063
61009,6,1) $0 - $100,30.77,0,1,Rural,1,Web,Mens E-Mail,3,0,0.2485
61010,5,3) $200 - $350,336.42,0,1,Surburban,0,Phone,Womens E-Mail,1,0,0.2278
61011,5,1) $0 - $100,59.4,1,0,Surburban,0,Phone,Womens E-Mail,4,0,0.0112
61012,5,1) $0 - $100,29.99,1,0,Urban,1,Phone,No E-Mail,6,0,0.0012
