iter	RMSE
0	0.9690809661
1	0.9351955216
2	0.9044302349
3	0.8737795582
4	0.8444313656
5	0.81582255296	0.7899790123
7	0.7641858344
8	0.7416064124
9	0.7192988321
10	0.6975108526
11	0.6762109943
12	0.656993219
13	0.6378963864
14	0.620400476
15	0.6038013794
16	0.5872917377
17	0.571458806
18	0.5586665158
19	0.5441811899
20	0.5307245602
21	0.5137342267
22	0.4994016095
23	0.48356557
24	0.4717791919
25	0.4573656102
26	0.4462519506
27	0.4334173956
28	0.4234299403
29	0.4129698711
30	0.4017128562
31	0.3921938256
32	0.3839951416
33	0.3739066733
34	0.3648344406
35	0.3576788327
36	0.3496324259
37	0.3413402845
38	0.3363620242
39	0.3300223899
40	0.3230826772
41	0.316437714
42	0.311073204
43	0.3055006919
44	0.2997803309
45	0.2942487943
46	0.2898745302
47	0.2858427781
48	0.2810162752
49	0.2757325543
50	0.2715743198
51	0.2680273102
52	0.2644187894
53	0.2597487195
54	0.2556707096
55	0.2524198447
56	0.2494788625
57	0.2466276446
58	0.2439377638
59	0.240948751
60	0.2370424502
61	0.234337841
62	0.2318715828
63	0.2289464078
64	0.2261939475
65	0.2237238857
66	0.2207870305
67	0.2186776054
68	0.2166751439
69	0.2142862565
70	0.2124068068
71	0.2092487641
72	0.2073940888
73	0.2050906525
74	0.2023128188
75	0.200786193
76	0.1990098946
77	0.1971982612
78	0.1950065878
79	0.1935494763
80	0.1913249423
81	0.1898808706
82	0.1884909091
83	0.1862697278
84	0.1848933621
85	0.1835307748
86	0.1821261746
87	0.1810364315
88	0.1798565234
89	0.1787005463
90	0.1771517611
91	0.1759704622
92	0.1749241164
93	0.1737719237
94	0.172737177
95	0.1720120878
96	0.1708717187
97	0.1697063192
98	0.1687459306
99	0.1677261122
100	0.1668211342
101	0.1659879023
102	0.1652444962
103	0.164351799
104	0.1630743949
105	0.1621500394
106	0.1610588372
107	0.1602866501
108	0.1593400244
109	0.1585076274
110	0.1577881541
111	0.1572029194
112	0.1563359313
113	0.1555073923
114	0.154826748
115	0.1542204434
116	0.1535664698
117	0.1530502936
118	0.1524640776
119	0.1519415894
120	0.1514112391
121	0.150889634
122	0.1501561597
123	0.1496207729
124	0.1491507215
125	0.1485045314
126	0.147993841
127	0.1475315531
128	0.1470574356
129	0.1467079248
130	0.1463011251
131	0.1458853037
132	0.1454239698
133	0.1451207682
134	0.1447751936
135	0.1443823784
136	0.1440639562
137	0.1435890627
138	0.1431754932
139	0.1427123347
140	0.1423535067
141	0.1418543346
142	0.1415071146
143	0.1410991799
144	0.1408765453
145	0.1405966767
146	0.1402988472
147	0.1400260364
148	0.1396524755
149	0.1392653284
150	0.1388975046
151	0.1386259346
152	0.1383351041
153	0.1381370455
154	0.1379104797
155	0.1377032539
156	0.137484946
157	0.1371602575
158	0.1368681025
159	0.1365801961
160	0.1363015581
161	0.1360887161
162	0.1357712705
163	0.1354346453
164	0.1352213878
165	0.1348963222
166	0.1347155752
167	0.1345545972
168	0.1343736315
169	0.1341575793
170	0.1339572651
171	0.1337108478
172	0.1334050892
173	0.1331703268
174	0.1329455038
175	0.1327668789
176	0.1325889814
177	0.1324352021
178	0.1322477239
179	0.1320203544
180	0.1318798973
181	0.1317129209
182	0.1315345414
183	0.1313165617
184	0.1311569159
185	0.1309885478
186	0.1308382189
187	0.1307175782
188	0.130552965
189	0.1304080385
190	0.1302604084
191	0.1301079888
192	0.1299542484
193	0.1297561627
194	0.129616634
195	0.1294702004
196	0.1293511476
197	0.1291727344
198	0.1290276367
199	0.1288641528
200	0.1287254619
201	0.128584894
202	0.1284226447
203	0.1282825293
204	0.1281861163
205	0.1280919049
206	0.1279617111
207	0.1278247651
208	0.1276830625
209	0.1275568163
210	0.1274399663
211	0.1273300248
212	0.1271766801
213	0.127072328
214	0.1269573763
215	0.1268360641
216	0.1267397215
217	0.1266369624
218	0.1265009727
219	0.1264007959
220	0.1263073149
221	0.1261744482
222	0.1260543969
223	0.125972621
224	0.1258522139
225	0.1257752526
226	0.1256809022
227	0.125585417
228	0.1254740611
229	0.12537469
230	0.1252980872
231	0.1252217562
232	0.125134889
233	0.1250403952
234	0.1249425215
235	0.1248614079
236	0.124768515
237	0.124698845
238	0.124631406
239	0.1245313246
240	0.1244557979
241	0.1243877572
242	0.12430814
243	0.1242100326
244	0.1241572795
245	0.1240645062
246	0.1239492501
247	0.1238705787
248	0.1237403897
249	0.1236617653
250	0.1235802361
251	0.1235004789
252	0.1234375165
253	0.1233369817
254	0.1232561639
255	0.1231793995
256	0.123102608
257	0.1230397558
258	0.1229608318
259	0.1228813825
260	0.1228140161
261	0.1226999663
262	0.1226075718
263	0.1225384258
264	0.1224454662
265	0.1223853539
266	0.1223079007
267	0.1222392842
268	0.1221741946
269	0.122076457
270	0.1220243708
271	0.1219644163
272	0.1218969173
273	0.1218439897
274	0.1217628217
275	0.1217002204
276	0.1216279734
277	0.1215421386
278	0.1215060023
279	0.1214380968
280	0.1213772505
281	0.1213269225
282	0.1212315658
283	0.1211682234
284	0.1210997435
285	0.1210394377
286	0.1209772638
287	0.1209356987
288	0.1208557778
289	0.1208046238
290	0.1207716673
291	0.1207218805
292	0.1206572823
293	0.1205948096
294	0.120530873
295	0.1204548066
296	0.1204123555
297	0.1203526906
298	0.120304773
299	0.1202517786
300	0.1202031009
301	0.12015033
302	0.1200793071
303	0.1200352802
304	0.1199973639
305	0.1199188347
306	0.1198385177
307	0.1197883626
308	0.1197113116
309	0.1196628425
310	0.1196120389
311	0.1195658266
312	0.1195129772
313	0.1194704849
314	0.119314	0.11315	0.119315	0.11316	0.119316	0.1182889469
317	0.1182357236
318	0.1181875992
319	0.1181496371
320	0.1180983689
321	0.118050389
322	0.1179980522
323	0.1179097646
324	0.11325	0.118325	0.11326	0.118326	0.11327	0.118327	0.11328	0.118328	0.11329	0.118329	0.11330	0.118330	0.11331	0.118331	0.1174195396
332	0.1173472128
333	0.1172769281
334	0.1172228729
335	0.1171648647
336	0.1171077667
337	0.1170756293
338	0.1170150028
339	0.1169686267
340	0.1169264908
341	0.1168792896
342	0.1168342158
343	0.1167694677
344	0.1167045978
345	0.116654461
346	0.1166106074
347	0.1165624101
348	0.1165234733
349	0.1164912556
350	0.1164238149
351	0.1163881177
352	0.1163416035
353	354	0.1173258354355	0.1172865692
356	0.1172541883
357	0.1172058481
358	0.117134692
359	0.1170994299
360	0.1170583718
361	0.1170259696
362	0.1169809169
363	0.1169428318
364	0.1168849578
365	0.1168519532
