iter	Passed	Remaining
0	3	304
1	5	281
2	8	275
3	11	269
4	13	263
5	16	257
6	19	253
7	21	250
8	24	248
9	27	245
10	30	249
11	33	246
12	36	242
13	38	238
14	41	237
15	44	233
16	47	230
17	49	226
18	52	223
19	55	220
20	57	217
21	60	216
22	63	212
23	66	209
24	69	207
25	72	207
26	76	206
27	79	203
28	81	199
29	84	196
30	86	193
31	90	192
32	94	191
33	98	190
34	102	189
35	105	187
36	108	185
37	111	181
38	113	177
39	116	174
40	118	170
41	121	167
42	124	165
43	127	162
44	130	159
45	132	155
46	135	152
47	138	149
48	141	146
49	143	143
50	146	140
51	149	138
52	153	135
53	155	132
54	158	129
55	161	126
56	164	123
57	166	120
58	169	117
59	172	114
60	174	111
61	177	108
62	179	105
63	182	102
64	185	99
65	187	96
66	191	94
67	194	91
68	198	89
69	203	87
70	206	84
71	210	81
72	213	79
73	216	75
74	218	72
75	222	70
76	225	67
77	228	64
78	231	61
79	234	58
80	237	55
81	239	52
82	242	49
83	245	46
84	247	43
85	250	40
86	253	37
87	256	34
88	258	31
89	261	29
90	264	26
91	266	23
92	269	20
93	274	17
94	277	14
95	280	11
96	282	8
97	285	5
98	288	2
99	291	0
