,origIntRate,origUPB,origLTV,origDebtIncRatio,worstCreditScore,zeroBalCode
77166,4.75,112000,80,36,697,0
77167,4.6,101000,60,32,704,0
77168,5.375,123000,70,30,681,0
77169,4.375,185000,79,31,804,0
77170,4.375,176000,78,30,712,0
77171,5.0,92000,80,29,783,1
77172,4.75,74000,65,38,822,0
77173,4.875,93000,74,45,723,0
77174,4.5,202000,80,40,770,0
77175,5.0,263000,74,42,703,1
77176,5.125,660000,60,32,745,0
77177,5.25,84000,80,23,699,0
77178,5.25,107000,74,31,732,0
77179,4.375,343000,58,25,716,0
77180,5.19,216000,80,44,675,0
77181,4.875,158000,80,25,755,0
77182,5.375,100000,78,26,710,0
77183,4.875,417000,66,23,803,0
77184,5.0,230000,80,43,772,0
77185,4.875,161000,49,35,780,0
77186,5.0,115000,73,33,800,0
77187,4.625,215000,64,44,694,0
77188,4.875,352000,84,45,745,0
77189,4.75,146000,86,40,794,0
77190,4.5,82000,42,18,787,0
77191,5.625,417000,79,41,637,0
77192,4.5,187000,70,47,721,0
77194,4.875,187000,80,31,708,0
77195,4.5,85000,70,39,804,0
77196,5.25,200000,85,26,727,0
77197,5.375,255000,49,43,798,0
77198,4.375,417000,43,25,758,0
77199,4.25,272000,79,15,764,0
77200,4.875,415000,67,44,790,0
77201,4.875,170000,72,27,703,0
77202,4.875,206000,78,33,744,0
77203,4.5,288000,68,50,709,0
77204,5.25,101000,54,31,806,0
77205,4.625,114000,77,34,759,0
77206,4.625,119000,80,39,704,0
77207,4.75,345000,75,29,788,0
77208,4.875,321000,78,30,690,0
77209,4.875,125000,67,38,777,0
77210,4.5,275000,74,37,780,0
77211,5.25,240000,74,48,643,0
77212,5.0,364000,75,45,683,0
77213,4.25,64000,45,22,798,0
77214,5.0,218000,75,37,691,0
77215,4.875,116000,58,39,706,0
77216,4.5,110000,37,48,732,0
77217,4.625,265000,76,40,718,0
77218,4.25,184000,88,31,732,0
77219,3.875,287000,56,20,778,0
77220,4.5,125000,65,42,677,0
77221,5.375,126000,71,35,708,1
77222,4.5,417000,35,23,732,0
77223,4.875,175000,47,35,782,0
77224,4.25,417000,58,43,684,0
77225,4.5,186000,75,25,670,0
77226,4.875,417000,75,36,740,0
77227,4.625,279000,62,38,771,0
77228,4.875,380000,80,20,741,0
77229,5.375,121000,67,43,622,0
77230,5.0,675000,75,50,726,0
77231,4.99,187000,80,34,702,0
77232,4.875,126000,82,43,701,0
77233,4.375,340000,79,39,683,1
77234,4.875,78000,61,30,710,0
77235,4.5,157000,63,31,767,0
77236,4.375,181000,36,45,786,0
77237,4.625,417000,68,43,752,0
77238,4.375,518000,72,29,733,0
77239,4.25,195000,75,50,757,0
77240,5.125,110000,70,41,687,0
77241,4.75,226000,80,39,755,0
77242,4.875,251000,71,42,763,0
77243,5.25,200000,80,36,731,0
77244,4.875,172000,80,28,717,1
77245,4.625,316000,80,34,702,0
77246,4.0,153000,55,32,777,0
77247,4.5,715000,60,14,773,0
77248,5.125,288000,80,44,735,0
77249,4.875,85000,20,37,713,0
77250,4.5,450000,58,37,702,0
77251,4.5,61000,74,41,679,0
77252,4.875,189000,83,43,756,0
77253,4.375,200000,79,31,689,0
77254,4.375,361000,56,44,698,0
77255,4.875,220000,52,46,705,0
77256,5.0,242000,87,24,729,0
77257,5.375,112000,44,39,681,0
77258,4.85,464000,80,44,702,0
77259,5.25,125000,60,45,795,0
77260,4.75,282000,18,32,816,0
77261,4.375,110000,80,26,745,0
77262,4.375,244000,71,29,784,0
77263,4.875,150000,77,43,753,1
77264,4.625,162000,80,22,719,0
77265,5.25,181000,80,37,712,0
77267,4.5,267000,75,32,695,0
77268,4.5,295000,31,26,750,0
77269,4.75,164000,80,43,779,0
77270,4.5,374000,69,23,783,0
77271,4.875,138000,41,28,823,0
77272,5.0,254000,73,42,681,0
77273,5.125,300000,43,29,809,1
77274,4.375,407000,37,33,801,0
77275,5.125,460000,80,35,731,0
77276,4.875,214000,75,45,684,0
77277,4.875,193000,66,44,766,0
77278,4.99,187000,41,43,713,0
77279,5.625,115000,59,28,667,0
77280,5.375,108000,80,37,660,1
77281,5.0,131000,80,38,713,0
77282,4.96,97000,72,43,759,0
77283,4.875,138000,55,42,770,0
77284,5.0,408000,68,18,735,0
77285,4.875,407000,45,28,776,0
77286,5.375,112000,78,37,736,0
77287,5.25,75000,73,34,727,1
77288,4.375,163000,82,27,715,0
77289,5.125,87000,79,36,639,0
77290,4.375,108000,85,37,731,0
77291,4.375,86000,63,41,773,1
77292,4.25,673000,66,29,720,0
77293,5.25,212000,75,44,666,0
77294,4.875,260000,79,41,725,0
77295,4.375,725000,44,43,735,0
77296,5.125,347000,83,32,721,0
77297,5.0,292000,63,26,699,0
77299,5.25,194000,70,45,754,0
77300,4.375,628000,80,43,761,0
77301,4.5,467000,55,29,760,0
77302,4.25,193000,56,18,748,0
77303,4.875,139000,56,40,812,0
77304,4.625,30000,37,29,740,0
77305,4.875,125000,40,28,812,0
77306,4.875,387000,58,48,699,0
77307,4.875,568000,80,20,776,0
77308,4.5,108000,80,42,725,1
77309,5.5,252000,76,30,703,0
77310,4.25,189000,84,43,762,0
77311,5.375,328000,80,35,674,0
77312,4.306,310000,71,42,807,0
77313,4.99,178000,80,37,740,0
77314,4.875,232000,88,29,747,0
77315,4.375,328000,80,21,777,0
77317,5.0,110000,78,39,750,0
77319,4.375,417000,78,35,774,0
77320,4.875,524000,73,30,772,1
77321,4.625,117000,59,35,681,0
77322,5.25,200000,54,45,662,0
77323,4.875,92000,79,22,778,0
77324,4.125,123000,80,26,800,1
77325,5.0,114000,67,20,642,0
77326,4.5,231000,73,45,711,0
77327,4.875,204000,80,26,742,0
77328,4.375,710000,71,36,744,0
77329,4.5,320000,75,45,700,0
77330,4.375,220000,78,21,803,0
77331,4.25,329000,88,32,775,0
77332,4.875,156000,80,35,670,0
77333,5.25,183000,72,30,752,0
77334,4.875,95000,54,44,727,0
77335,4.25,164000,41,30,806,0
77336,4.875,88000,75,44,721,0
77337,4.625,220000,57,46,684,0
77338,4.75,235000,86,31,742,0
77339,5.25,139000,70,36,659,0
77340,4.95,107000,88,41,758,1
77341,5.875,134000,80,44,630,1
77342,4.5,259000,65,39,683,0
77343,4.875,112000,66,39,707,0
