,origIntRate,origUPB,origLTV,origDebtIncRatio,worstCreditScore,zeroBalCode,mSA
92142,4.125,591000,60,45,673,0,31080
92143,5.25,46000,80,25,691,0,44180
92146,4.375,439000,70,37,789,0,42660
92147,4.25,101000,75,41,686,0,0
92148,4.375,256000,80,37,723,0,35380
92149,4.75,332000,80,39,723,0,14460
92150,4.0,370000,79,20,713,0,31080
92151,4.875,112000,67,44,654,0,45500
92152,3.875,184000,80,22,771,0,0
92153,4.0,329000,80,19,665,1,10500
92154,4.375,137000,70,24,659,0,0
92155,5.0,144000,80,35,678,0,12420
92156,4.375,61000,74,26,769,0,0
92157,3.875,350000,59,16,783,0,16980
92158,3.875,129000,86,44,744,0,0
92160,4.25,296000,73,44,718,0,38060
92161,3.875,405000,63,39,768,0,33460
92162,4.625,198000,80,43,727,0,14460
92163,4.0,132000,84,18,776,0,24660
92164,3.875,389000,53,29,723,0,41940
92165,4.0,238000,80,34,761,0,33460
92167,4.125,570000,65,44,729,0,41860
92168,4.125,187000,85,39,754,1,29540
92169,4.0,99000,55,37,758,0,12940
92170,4.25,162000,95,28,685,0,0
92171,4.0,340000,68,39,697,0,0
92172,3.875,344000,80,26,762,0,34940
92173,4.25,220000,78,43,715,0,40140
92174,3.875,111000,93,45,722,1,0
92176,3.875,130000,74,42,733,0,17980
92177,4.0,108000,57,15,781,0,0
92178,4.0,157000,77,40,703,0,39340
92179,4.0,246000,75,45,744,0,33340
92181,4.375,417000,61,39,669,0,19820
92182,4.0,56000,89,31,755,0,36260
92183,3.875,260000,58,37,815,0,33700
92185,4.25,340000,80,27,706,0,35620
92186,4.5,392000,80,25,667,0,17140
92187,4.0,140000,80,41,777,0,40900
92188,3.99,208000,80,45,764,0,33100
92189,5.5,220000,74,25,632,0,14860
92190,3.99,186000,80,28,745,0,28140
92191,4.0,345000,53,41,802,0,41940
92192,3.875,239000,58,21,798,0,12580
92193,4.25,40000,10,34,744,0,31080
92195,4.0,405000,50,44,752,0,16980
92196,4.0,258000,30,11,788,0,31100
92197,4.125,165000,81,35,788,1,47260
92198,4.125,88000,80,19,789,0,10900
92199,3.904,408000,30,39,759,0,31080
92200,4.375,355000,88,43,720,0,35620
92201,4.25,120000,54,44,720,0,41700
92202,3.875,200000,17,42,804,0,24420
92203,4.05,72000,52,30,813,1,40420
92204,4.0,164000,89,37,721,0,10580
92205,4.125,190000,79,36,731,1,43780
92206,3.875,281000,85,35,768,0,19820
92208,4.0,127000,51,22,683,0,38900
92210,3.5,162000,32,45,660,0,17140
92211,4.0,185000,57,12,801,0,41180
92212,3.875,414000,80,44,743,0,35620
92213,4.125,290000,95,43,744,0,22660
92214,4.375,175000,80,28,763,0,19740
92215,5.25,76000,78,28,693,0,28940
92216,4.0,380000,75,37,733,0,41860
92217,4.375,110000,50,18,658,0,0
92218,4.125,115000,24,36,806,0,40140
92219,4.5,72000,69,27,623,0,0
92220,4.125,84000,60,17,649,0,0
92221,4.375,73000,57,33,714,0,26420
92222,3.875,96000,60,30,820,0,19820
92223,3.75,113000,79,28,714,0,41980
92224,3.875,172000,73,23,755,0,30460
92225,4.0,87000,49,43,742,0,16860
92226,3.875,314000,63,28,787,0,31080
92227,4.25,417000,76,26,741,0,42660
92228,4.0,356000,80,33,724,0,35620
92229,3.75,354000,65,44,680,0,32820
92230,4.25,74000,49,40,669,0,41180
92231,3.99,343000,79,15,727,0,19820
92232,4.5,140000,56,43,695,0,25420
92233,4.375,316000,58,28,662,0,41740
92234,3.875,191000,85,31,787,0,45820
92235,4.0,99000,80,38,770,0,0
92236,4.875,362000,77,35,681,0,37980
92237,4.25,586000,74,44,716,0,41940
92238,4.5,94000,65,41,696,0,29540
92239,4.25,335000,67,38,783,0,16980
92241,4.0,416000,89,33,755,0,41180
92242,4.125,606000,72,26,759,0,31100
92243,4.0,181000,95,28,798,0,40420
92244,4.25,94000,72,22,797,0,28140
92245,3.875,407000,78,36,787,0,41940
92246,4.115,171000,80,44,723,0,11020
92247,4.125,174000,52,27,779,0,14860
92249,4.375,159000,16,34,756,0,41940
92250,4.5,250000,85,39,797,0,35620
92251,3.875,380000,56,33,816,0,42020
92252,3.875,240000,55,33,798,0,14860
92253,4.375,265000,60,44,663,0,0
92254,4.375,146000,90,38,746,0,46140
92255,4.125,250000,65,37,795,0,28140
92256,3.875,264000,66,19,776,0,28940
92257,4.125,335000,78,43,761,0,26420
92258,4.375,61000,41,22,651,0,0
92259,4.0,417000,35,6,804,0,31080
92260,3.875,390000,52,41,728,0,41860
92261,4.875,168000,77,23,693,0,47900
92262,3.875,272000,80,44,794,0,10540
92263,3.99,123000,60,42,720,0,43900
92264,4.0,330000,74,37,775,0,42020
92265,3.993,405000,54,41,775,0,14460
92266,4.375,111000,48,20,632,0,33340
92267,4.0,96000,80,26,764,0,0
92268,4.125,83000,70,36,720,0,40900
92269,4.625,326000,80,44,687,0,14460
92270,4.0,417000,54,48,738,0,35620
92271,4.125,617000,58,22,801,0,41860
92272,4.75,184000,80,40,717,0,0
92273,4.25,185000,38,21,669,0,14460
92274,4.125,113000,42,41,688,0,31700
92275,4.125,172000,74,26,721,0,30700
92276,4.5,430000,80,43,739,0,41860
92277,4.5,92000,80,12,804,0,26420
92278,4.375,278000,62,48,696,0,14460
92279,4.25,176000,72,19,773,0,19820
92281,4.0,144000,74,25,746,0,30780
92282,4.375,53000,23,24,764,0,39460
92283,4.375,145000,70,34,678,0,29340
92284,4.875,165000,94,39,797,0,44180
92285,4.0,325000,54,45,627,0,35620
92286,4.125,298000,71,45,737,0,41620
92287,4.0,242000,31,17,785,0,0
92288,4.5,160000,80,44,753,0,32780
