sellerName,origChannel,origIntRate,origUPB,origDate,firstPmtDate,origLTV,origCLTV,numBorrowers,origDebtIncRatio,borrCreditScore,BestCreditScore,loanPurp,propState,zipCode,pMIperct,mortInsType
QUICKEN LOANS INC.,0,5.375,139000,2/1/2019,3/1/2019,75,75,1,26,685,685,C,MI,483,0,0
QUICKEN LOANS INC.,0,4.25,328000,2/1/2019,3/1/2019,60,60,1,33,685,685,C,CA,945,0,0
QUICKEN LOANS INC.,0,4.99,129000,2/1/2019,3/1/2019,67,67,1,35,742,742,C,MO,641,0,0
QUICKEN LOANS INC.,0,4.125,150000,2/1/2019,3/1/2019,60,60,1,38,771,771,C,VA,232,0,0
QUICKEN LOANS INC.,0,4.75,200000,2/1/2019,3/1/2019,60,60,1,41,718,718,C,MA,19,0,0
QUICKEN LOANS INC.,0,5.625,123000,2/1/2019,3/1/2019,80,80,1,41,679,679,C,NC,284,0,0
QUICKEN LOANS INC.,0,4.99,452000,2/1/2019,3/1/2019,80,80,1,42,713,713,C,NY,117,0,0
QUICKEN LOANS INC.,0,4.375,464000,2/1/2019,3/1/2019,38,38,1,44,702,702,C,CA,951,0,0
QUICKEN LOANS INC.,0,4.5,106000,2/1/2019,3/1/2019,43,43,1,45,802,802,C,FL,337,0,0
QUICKEN LOANS INC.,0,4.99,113000,2/1/2019,3/1/2019,73,73,1,49,779,779,C,PA,164,0,0
QUICKEN LOANS INC.,0,4.5,241000,2/1/2019,3/1/2019,54,54,1,50,775,775,C,CA,956,0,0
QUICKEN LOANS INC.,0,4.875,141000,2/1/2019,3/1/2019,39,39,1,50,625,625,C,NY,117,0,0
QUICKEN LOANS INC.,0,4.5,341000,2/1/2019,4/1/2019,67,67,1,12,778,778,C,MD,212,0,0
QUICKEN LOANS INC.,0,4.75,126000,2/1/2019,4/1/2019,23,23,1,12,799,799,C,UT,843,0,0
QUICKEN LOANS INC.,0,4.25,162000,2/1/2019,4/1/2019,39,39,1,13,801,801,C,AZ,857,0,0
QUICKEN LOANS INC.,0,4.875,213000,2/1/2019,4/1/2019,55,55,1,13,758,758,C,FL,329,0,0
QUICKEN LOANS INC.,0,5.75,100000,2/1/2019,4/1/2019,38,38,1,13,633,633,C,TX,797,0,0
QUICKEN LOANS INC.,0,4.875,107000,2/1/2019,4/1/2019,80,80,1,14,732,732,C,AR,727,0,0
QUICKEN LOANS INC.,0,4.99,127000,2/1/2019,4/1/2019,59,59,1,14,722,722,C,AZ,850,0,0
QUICKEN LOANS INC.,0,4.56,126000,2/1/2019,4/1/2019,63,63,1,14,768,768,C,PA,152,0,0
QUICKEN LOANS INC.,0,5.75,97000,2/1/2019,4/1/2019,60,60,1,14,622,622,C,TX,785,0,0
QUICKEN LOANS INC.,0,5.75,75000,2/1/2019,4/1/2019,66,66,1,15,705,705,C,OK,749,0,0
QUICKEN LOANS INC.,0,5.375,447000,2/1/2019,4/1/2019,75,75,1,16,682,682,C,CO,804,0,0
QUICKEN LOANS INC.,0,4.99,143000,2/1/2019,4/1/2019,60,60,1,16,793,793,C,OH,437,0,0
QUICKEN LOANS INC.,0,4.625,210000,2/1/2019,4/1/2019,80,80,1,16,777,777,C,TX,754,0,0
QUICKEN LOANS INC.,0,4.25,306000,2/1/2019,4/1/2019,70,70,1,17,717,717,C,FL,336,0,0
QUICKEN LOANS INC.,0,5.5,84000,2/1/2019,4/1/2019,80,80,1,17,756,756,C,TX,793,0,0
QUICKEN LOANS INC.,0,4.75,100000,2/1/2019,4/1/2019,68,68,1,18,785,785,C,NE,688,0,0
QUICKEN LOANS INC.,0,4.875,297000,2/1/2019,4/1/2019,72,72,1,19,803,803,C,IL,601,0,0
QUICKEN LOANS INC.,0,4.625,159000,2/1/2019,4/1/2019,48,48,1,19,654,654,C,MD,206,0,0
QUICKEN LOANS INC.,0,5.875,84000,2/1/2019,4/1/2019,59,59,1,19,630,630,C,TX,782,0,0
QUICKEN LOANS INC.,0,4.99,75000,2/1/2019,4/1/2019,12,12,1,20,746,746,C,FL,336,0,0
QUICKEN LOANS INC.,0,4.875,75000,2/1/2019,4/1/2019,52,52,1,20,649,649,C,FL,346,0,0
QUICKEN LOANS INC.,0,4.99,124000,2/1/2019,4/1/2019,50,50,1,20,731,731,C,IN,461,0,0
QUICKEN LOANS INC.,0,4.75,100000,2/1/2019,4/1/2019,73,73,1,20,763,763,C,IN,469,0,0
QUICKEN LOANS INC.,0,4.99,90000,2/1/2019,4/1/2019,59,59,1,20,773,773,C,NY,141,0,0
QUICKEN LOANS INC.,0,5.5,126000,2/1/2019,4/1/2019,70,70,1,20,724,724,C,TX,770,0,0
QUICKEN LOANS INC.,0,4.875,201000,2/1/2019,4/1/2019,36,36,1,20,741,741,C,WA,980,0,0
QUICKEN LOANS INC.,0,4.875,344000,2/1/2019,4/1/2019,69,69,1,21,806,806,C,CA,958,0,0
QUICKEN LOANS INC.,0,4.875,92000,2/1/2019,4/1/2019,80,80,1,21,756,756,C,IN,469,0,0
QUICKEN LOANS INC.,0,4.99,152000,2/1/2019,4/1/2019,51,51,1,21,719,719,C,MI,481,0,0
QUICKEN LOANS INC.,0,4.99,125000,2/1/2019,4/1/2019,60,60,1,21,705,705,C,NC,272,0,0
QUICKEN LOANS INC.,0,5.5,62000,2/1/2019,4/1/2019,42,42,1,21,778,778,C,NV,895,0,0
QUICKEN LOANS INC.,0,4.75,163000,2/1/2019,4/1/2019,55,55,1,22,735,735,C,CA,956,0,0
QUICKEN LOANS INC.,0,4.99,220000,2/1/2019,4/1/2019,80,80,1,22,688,688,C,CA,953,0,0
QUICKEN LOANS INC.,0,4.99,131000,2/1/2019,4/1/2019,71,71,1,22,735,735,C,GA,301,0,0
QUICKEN LOANS INC.,0,4.625,88000,2/1/2019,4/1/2019,65,65,1,22,774,774,C,ID,832,0,0
QUICKEN LOANS INC.,0,4.875,100000,2/1/2019,4/1/2019,39,39,1,22,734,734,C,MD,206,0,0
QUICKEN LOANS INC.,0,5.5,175000,2/1/2019,4/1/2019,59,59,1,22,712,712,C,TX,766,0,0
QUICKEN LOANS INC.,0,4.875,75000,2/1/2019,4/1/2019,20,20,1,23,742,742,C,AL,360,0,0
QUICKEN LOANS INC.,0,4.56,430000,2/1/2019,4/1/2019,57,57,1,23,762,762,C,CA,913,0,0
QUICKEN LOANS INC.,0,4.875,544000,2/1/2019,4/1/2019,59,59,1,23,644,644,C,CA,940,0,0
QUICKEN LOANS INC.,0,4.125,389000,2/1/2019,4/1/2019,60,60,1,23,776,776,C,CA,945,0,0
QUICKEN LOANS INC.,0,4.625,115000,2/1/2019,4/1/2019,58,58,1,23,750,750,C,FL,327,0,0
QUICKEN LOANS INC.,0,4.75,165000,2/1/2019,4/1/2019,72,72,1,23,749,749,C,GA,301,0,0
QUICKEN LOANS INC.,0,4.56,335000,2/1/2019,4/1/2019,74,74,1,23,750,750,C,MA,23,0,0
QUICKEN LOANS INC.,0,4.99,245000,2/1/2019,4/1/2019,45,45,1,23,777,777,C,MD,208,0,0
QUICKEN LOANS INC.,0,5.5,60000,2/1/2019,4/1/2019,55,55,1,23,690,690,C,PA,184,0,0
QUICKEN LOANS INC.,0,4.5,200000,2/1/2019,4/1/2019,50,50,1,24,816,816,C,AL,365,0,0
QUICKEN LOANS INC.,0,4.5,190000,2/1/2019,4/1/2019,48,48,1,24,707,707,C,CA,959,0,0
QUICKEN LOANS INC.,0,4.5,222000,2/1/2019,4/1/2019,56,56,1,24,721,721,C,CA,958,0,0
QUICKEN LOANS INC.,0,5.375,91000,2/1/2019,4/1/2019,48,48,1,24,780,780,C,ID,837,0,0
QUICKEN LOANS INC.,0,4.75,106000,2/1/2019,4/1/2019,65,65,1,24,785,785,C,MI,483,0,0
QUICKEN LOANS INC.,0,4.75,202000,2/1/2019,4/1/2019,80,80,1,24,710,710,C,MI,492,0,0
QUICKEN LOANS INC.,0,4.99,164000,2/1/2019,4/1/2019,75,75,1,24,685,685,C,TN,371,0,0
