,sellerName,origChannel,origIntRate,origUPB,origDate,firstPmtDate,origLTV,origCLTV,numBorrowers,origDebtIncRatio,borrCreditScore,BestCreditScore,WorstCreditScore,AvgCreditScore,loanPurp,propState,zipCode,pMIperct,mortInsType,fmacRate,fredRate,rateDiff,rateDiffPct,rank
0,"UNITED SHORE FINANCIAL SERVICES, LLC DBA UNITED WHOLESALE MORTGAGE",1,4.625,160000,2/1/2019,4/1/2019,80,80,2,34,758,758,752,755,C,IN,462,0,0,4.46,2.7,0.165,0.036995516,3
1,"UNITED SHORE FINANCIAL SERVICES, LLC DBA UNITED WHOLESALE MORTGAGE",1,4.5,510000,2/1/2019,4/1/2019,64,64,2,40,772,772,767,769.5,C,CA,913,0,0,4.46,2.7,0.04,0.00896861,2
2,QUICKEN LOANS INC.,0,4.75,143000,2/1/2019,4/1/2019,68,68,1,16,674,674,674,674,C,NC,286,0,0,4.46,2.7,0.29,0.065022422,3
3,"UNITED SHORE FINANCIAL SERVICES, LLC DBA UNITED WHOLESALE MORTGAGE",1,4.5,160000,2/1/2019,4/1/2019,17,17,1,43,738,738,738,738,C,CA,920,0,0,4.46,2.7,0.04,0.00896861,2
4,PENNYMAC CORP.,2,4.5,320000,2/1/2019,4/1/2019,74,74,2,26,697,761,697,729,R,LA,707,0,0,4.46,2.7,0.04,0.00896861,2
5,FAIRWAY INDEPENDENT MORTGAGE CORPORATION,0,5.875,348000,2/1/2019,4/1/2019,80,80,1,29,681,681,681,681,C,AZ,852,0,0,4.46,2.7,1.415,0.317264574,6
6,OTHER,0,4.75,187000,2/1/2019,4/1/2019,53,53,2,31,740,740,730,735,C,CA,953,0,0,4.46,2.7,0.29,0.065022422,3
7,"JPMORGAN CHASE BANK, NATIONAL ASSOCIATION",2,4.625,188000,2/1/2019,4/1/2019,80,80,2,48,717,717,705,711,C,NC,288,0,0,4.46,2.7,0.165,0.036995516,3
8,OTHER,2,4.375,285000,2/1/2019,4/1/2019,64,64,1,45,692,692,692,692,C,CA,945,0,0,4.46,2.7,-0.085,-0.019058296,2
9,OTHER,0,4.5,425000,2/1/2019,4/1/2019,85,85,1,37,776,776,776,776,R,NC,276,12,1,4.46,2.7,0.04,0.00896861,2
10,QUICKEN LOANS INC.,0,4.5,175000,2/1/2019,4/1/2019,60,60,1,43,732,732,732,732,C,GA,300,0,0,4.46,2.7,0.04,0.00896861,2
11,"WELLS FARGO BANK, N.A.",2,5,169000,2/1/2019,4/1/2019,48,48,1,31,672,672,672,672,R,CT,67,0,0,4.46,2.7,0.54,0.121076233,4
12,"UNITED SHORE FINANCIAL SERVICES, LLC DBA UNITED WHOLESALE MORTGAGE",1,4.375,389000,2/1/2019,4/1/2019,71,71,2,39,788,788,766,777,R,CA,956,0,0,4.46,2.7,-0.085,-0.019058296,2
13,"WELLS FARGO BANK, N.A.",2,4.875,172000,2/1/2019,4/1/2019,77,77,1,32,711,711,711,711,R,MN,558,0,0,4.46,2.7,0.415,0.093049327,3
14,PENNYMAC CORP.,0,4.75,144000,2/1/2019,4/1/2019,80,80,2,31,731,756,731,743.5,R,GA,300,0,0,4.46,2.7,0.29,0.065022422,3
15,QUICKEN LOANS INC.,0,5.375,85000,2/1/2019,4/1/2019,60,63,1,37,715,715,715,715,C,MI,484,0,0,4.46,2.7,0.915,0.205156951,5
16,OTHER,0,5.5,399000,2/1/2019,4/1/2019,70,70,2,36,634,641,634,637.5,C,CA,917,0,0,4.46,2.7,1.04,0.233183857,5
17,QUICKEN LOANS INC.,0,4.875,209000,2/1/2019,4/1/2019,67,67,2,39,749,779,749,764,R,TX,782,0,0,4.46,2.7,0.415,0.093049327,3
18,QUICKEN LOANS INC.,0,4.99,145000,2/1/2019,4/1/2019,62,62,2,35,812,812,812,812,C,TN,373,0,0,4.46,2.7,0.53,0.118834081,4
19,QUICKEN LOANS INC.,0,4.99,197000,2/1/2019,4/1/2019,73,73,1,47,634,634,634,634,R,TN,370,0,0,4.46,2.7,0.53,0.118834081,4
20,PENNYMAC CORP.,2,5.375,255000,2/1/2019,4/1/2019,79,79,2,40,714,816,714,765,C,MN,565,0,0,4.46,2.7,0.915,0.205156951,5
21,PENNYMAC CORP.,2,5.375,204000,2/1/2019,4/1/2019,80,80,2,27,693,708,693,700.5,C,MD,212,0,0,4.46,2.7,0.915,0.205156951,5
22,"UNITED SHORE FINANCIAL SERVICES, LLC DBA UNITED WHOLESALE MORTGAGE",1,4.375,373000,2/1/2019,4/1/2019,74,74,2,26,789,789,783,786,R,IL,606,0,0,4.46,2.7,-0.085,-0.019058296,2
23,OTHER,0,4.99,175000,2/1/2019,4/1/2019,77,77,1,46,693,693,693,693,C,KY,410,0,0,4.46,2.7,0.53,0.118834081,4
24,PENNYMAC CORP.,0,4.625,152000,2/1/2019,4/1/2019,78,78,1,28,777,777,777,777,R,VA,232,0,0,4.46,2.7,0.165,0.036995516,3
25,QUICKEN LOANS INC.,0,4.875,95000,2/1/2019,4/1/2019,48,48,1,25,798,798,798,798,C,MD,212,0,0,4.46,2.7,0.415,0.093049327,3
26,PENNYMAC CORP.,0,4.5,280000,2/1/2019,4/1/2019,65,65,2,16,702,702,702,702,R,WI,530,0,0,4.46,2.7,0.04,0.00896861,2
27,QUICKEN LOANS INC.,0,4.99,152000,2/1/2019,4/1/2019,65,65,1,42,763,763,763,763,C,MD,212,0,0,4.46,2.7,0.53,0.118834081,4
28,"UNITED SHORE FINANCIAL SERVICES, LLC DBA UNITED WHOLESALE MORTGAGE",2,4.75,208000,2/1/2019,4/1/2019,70,70,2,46,698,698,689,693.5,R,PA,175,0,0,4.46,2.7,0.29,0.065022422,3
29,"LAKEVIEW LOAN SERVICING, LLC",2,4.75,250000,2/1/2019,4/1/2019,72,72,1,23,741,741,741,741,C,OR,975,0,0,4.46,2.7,0.29,0.065022422,3
30,OTHER,0,4.75,126000,2/1/2019,4/1/2019,40,40,1,50,727,727,727,727,C,TX,760,0,0,4.46,2.7,0.29,0.065022422,3
31,QUICKEN LOANS INC.,0,4.875,310000,2/1/2019,3/1/2019,66,66,1,22,707,707,707,707,C,FL,330,0,0,4.46,2.7,0.415,0.093049327,3
32,OTHER,0,4.875,484000,2/1/2019,4/1/2019,57,57,2,22,747,808,747,777.5,C,MA,20,0,0,4.46,2.7,0.415,0.093049327,3
33,QUICKEN LOANS INC.,0,4.75,125000,2/1/2019,4/1/2019,60,60,1,23,636,636,636,636,C,IN,460,0,0,4.46,2.7,0.29,0.065022422,3
34,QUICKEN LOANS INC.,0,4.75,192000,2/1/2019,4/1/2019,63,63,2,31,774,792,774,783,C,FL,333,0,0,4.46,2.7,0.29,0.065022422,3
35,"WELLS FARGO BANK, N.A.",0,5.375,256000,2/1/2019,4/1/2019,80,80,2,22,714,718,714,716,C,WA,983,0,0,4.46,2.7,0.915,0.205156951,5
36,"WELLS FARGO BANK, N.A.",2,4.375,473000,2/1/2019,4/1/2019,76,76,1,42,696,696,696,696,R,CA,906,0,0,4.46,2.7,-0.085,-0.019058296,2
37,OTHER,0,5.375,72000,2/1/2019,4/1/2019,85,85,1,28,699,699,699,699,R,MS,390,12,1,4.46,2.7,0.915,0.205156951,5
38,QUICKEN LOANS INC.,0,4.99,157000,2/1/2019,4/1/2019,60,60,1,26,727,727,727,727,C,MI,493,0,0,4.46,2.7,0.53,0.118834081,4
39,OTHER,0,5,367000,2/1/2019,4/1/2019,72,72,1,47,685,685,685,685,C,MA,18,0,0,4.46,2.7,0.54,0.121076233,4
40,OTHER,2,4.5,132000,2/1/2019,4/1/2019,70,70,1,33,696,696,696,696,R,MN,550,0,0,4.46,2.7,0.04,0.00896861,2
41,OTHER,0,5.5,150000,2/1/2019,4/1/2019,50,50,1,45,668,668,668,668,C,TX,754,0,0,4.46,2.7,1.04,0.233183857,5
