,Unnamed: 0,origIntRate,origUPB,origLTV,origDebtIncRatio,worstCreditScore,zeroBalCode,mSA,Label,Score
0,92142,4.125,591000,60,45,673,0,31080,0,0.0008
1,92143,5.25,46000,80,25,691,0,44180,0,0.1842
2,92146,4.375,439000,70,37,789,0,42660,0,0.0052
3,92147,4.25,101000,75,41,686,0,0,0,0.0896
4,92148,4.375,256000,80,37,723,0,35380,0,0.0372
5,92149,4.75,332000,80,39,723,0,14460,0,0.0263
6,92150,4.0,370000,79,20,713,0,31080,0,0.0071
7,92151,4.875,112000,67,44,654,0,45500,0,0.0734
8,92152,3.875,184000,80,22,771,0,0,0,0.0357
9,92153,4.0,329000,80,19,665,1,10500,0,0.0094
10,92154,4.375,137000,70,24,659,0,0,0,0.0326
11,92155,5.0,144000,80,35,678,0,12420,0,0.1049
12,92156,4.375,61000,74,26,769,0,0,0,0.0915
13,92157,3.875,350000,59,16,783,0,16980,0,0.0022
14,92158,3.875,129000,86,44,744,0,0,0,0.1323
15,92160,4.25,296000,73,44,718,0,38060,0,0.0202
16,92161,3.875,405000,63,39,768,0,33460,0,0.0035
17,92162,4.625,198000,80,43,727,0,14460,0,0.078
18,92163,4.0,132000,84,18,776,0,24660,0,0.0649
19,92164,3.875,389000,53,29,723,0,41940,0,0.0015
20,92165,4.0,238000,80,34,761,0,33460,0,0.0345
21,92167,4.125,570000,65,44,729,0,41860,0,0.0013
22,92168,4.125,187000,85,39,754,1,29540,0,0.0825
23,92169,4.0,99000,55,37,758,0,12940,0,0.0246
24,92170,4.25,162000,95,28,685,0,0,0,0.125
25,92171,4.0,340000,68,39,697,0,0,0,0.0077
26,92172,3.875,344000,80,26,762,0,34940,0,0.0111
27,92173,4.25,220000,78,43,715,0,40140,0,0.0479
28,92174,3.875,111000,93,45,722,1,0,0,0.2134
29,92176,3.875,130000,74,42,733,0,17980,0,0.0623
30,92177,4.0,108000,57,15,781,0,0,0,0.0143
31,92178,4.0,157000,77,40,703,0,39340,0,0.0583
32,92179,4.0,246000,75,45,744,0,33340,0,0.0318
33,92181,4.375,417000,61,39,669,0,19820,0,0.0031
34,92182,4.0,56000,89,31,755,0,36260,0,0.1983
35,92183,3.875,260000,58,37,815,0,33700,0,0.0084
36,92185,4.25,340000,80,27,706,0,35620,0,0.0132
37,92186,4.5,392000,80,25,667,0,17140,0,0.0088
38,92187,4.0,140000,80,41,777,0,40900,0,0.0902
39,92188,3.99,208000,80,45,764,0,33100,0,0.0589
40,92189,5.5,220000,74,25,632,0,14860,0,0.0381
41,92190,3.99,186000,80,28,745,0,28140,0,0.0424
42,92191,4.0,345000,53,41,802,0,41940,0,0.0036
43,92192,3.875,239000,58,21,798,0,12580,0,0.0061
44,92193,4.25,40000,10,34,744,0,31080,0,0.0025
45,92195,4.0,405000,50,44,752,0,16980,0,0.0019
46,92196,4.0,258000,30,11,788,0,31100,0,0.0007
47,92197,4.125,165000,81,35,788,1,47260,0,0.0729
48,92198,4.125,88000,80,19,789,0,10900,0,0.0798
49,92199,3.904,408000,30,39,759,0,31080,0,0.0004
50,92200,4.375,355000,88,43,720,0,35620,0,0.0327
51,92201,4.25,120000,54,44,720,0,41700,0,0.0256
52,92202,3.875,200000,17,42,804,0,24420,0,0.0012
53,92203,4.05,72000,52,30,813,1,40420,0,0.0232
54,92204,4.0,164000,89,37,721,0,10580,0,0.1043
55,92205,4.125,190000,79,36,731,1,43780,0,0.0507
56,92206,3.875,281000,85,35,768,0,19820,0,0.0324
57,92208,4.0,127000,51,22,683,0,38900,0,0.0089
58,92210,3.5,162000,32,45,660,0,17140,0,0.003
59,92211,4.0,185000,57,12,801,0,41180,0,0.0073
60,92212,3.875,414000,80,44,743,0,35620,0,0.0103
61,92213,4.125,290000,95,43,744,0,22660,0,0.0745
62,92214,4.375,175000,80,28,763,0,19740,0,0.0576
63,92215,5.25,76000,78,28,693,0,28940,0,0.1462
64,92216,4.0,380000,75,37,733,0,41860,0,0.0086
65,92217,4.375,110000,50,18,658,0,0,0,0.01
66,92218,4.125,115000,24,36,806,0,40140,0,0.0036
67,92219,4.5,72000,69,27,623,0,0,0,0.0557
68,92220,4.125,84000,60,17,649,0,0,0,0.0191
69,92221,4.375,73000,57,33,714,0,26420,0,0.0344
70,92222,3.875,96000,60,30,820,0,19820,0,0.0288
71,92223,3.75,113000,79,28,714,0,41980,0,0.0592
72,92224,3.875,172000,73,23,755,0,30460,0,0.0258
73,92225,4.0,87000,49,43,742,0,16860,0,0.0217
74,92226,3.875,314000,63,28,787,0,31080,0,0.0055
75,92227,4.25,417000,76,26,741,0,42660,0,0.0057
76,92228,4.0,356000,80,33,724,0,35620,0,0.0124
77,92229,3.75,354000,65,44,680,0,32820,0,0.0056
78,92230,4.25,74000,49,40,669,0,41180,0,0.0225
79,92231,3.99,343000,79,15,727,0,19820,0,0.0077
80,92232,4.5,140000,56,43,695,0,25420,0,0.0263
81,92233,4.375,316000,58,28,662,0,41740,0,0.0042
82,92234,3.875,191000,85,31,787,0,45820,0,0.0598
83,92235,4.0,99000,80,38,770,0,0,0,0.1112
84,92236,4.875,362000,77,35,681,0,37980,0,0.0154
85,92237,4.25,586000,74,44,716,0,41940,0,0.0021
86,92238,4.5,94000,65,41,696,0,29540,0,0.0609
87,92239,4.25,335000,67,38,783,0,16980,0,0.0095
88,92241,4.0,416000,89,33,755,0,41180,0,0.014
89,92242,4.125,606000,72,26,759,0,31100,0,0.0009
90,92243,4.0,181000,95,28,798,0,40420,0,0.1136
91,92244,4.25,94000,72,22,797,0,28140,0,0.056
92,92245,3.875,407000,78,36,787,0,41940,0,0.0082
93,92246,4.115,171000,80,44,723,0,11020,0,0.0759
94,92247,4.125,174000,52,27,779,0,14860,0,0.0093
95,92249,4.375,159000,16,34,756,0,41940,0,0.0015
96,92250,4.5,250000,85,39,797,0,35620,0,0.0659
97,92251,3.875,380000,56,33,816,0,42020,0,0.0025
98,92252,3.875,240000,55,33,798,0,14860,0,0.0071
99,92253,4.375,265000,60,44,663,0,0,0,0.0114
100,92254,4.375,146000,90,38,746,0,46140,0,0.1578
101,92255,4.125,250000,65,37,795,0,28140,0,0.0154
102,92256,3.875,264000,66,19,776,0,28940,0,0.0074
103,92257,4.125,335000,78,43,761,0,26420,0,0.0196
104,92258,4.375,61000,41,22,651,0,0,0,0.0095
105,92259,4.0,417000,35,6,804,0,31080,0,0.0002
106,92260,3.875,390000,52,41,728,0,41860,0,0.002
107,92261,4.875,168000,77,23,693,0,47900,0,0.0514
108,92262,3.875,272000,80,44,794,0,10540,0,0.0345
109,92263,3.99,123000,60,42,720,0,43900,0,0.0297
110,92264,4.0,330000,74,37,775,0,42020,0,0.0128
111,92265,3.9930000000000003,405000,54,41,775,0,14460,0,0.0023
112,92266,4.375,111000,48,20,632,0,33340,0,0.0089
113,92267,4.0,96000,80,26,764,0,0,0,0.0823
114,92268,4.125,83000,70,36,720,0,40900,0,0.0665
115,92269,4.625,326000,80,44,687,0,14460,0,0.0282
116,92270,4.0,417000,54,48,738,0,35620,0,0.0024
117,92271,4.125,617000,58,22,801,0,41860,0,0.0003
118,92272,4.75,184000,80,40,717,0,0,0,0.0837
119,92273,4.25,185000,38,21,669,0,14460,0,0.0027
120,92274,4.125,113000,42,41,688,0,31700,0,0.0106
121,92275,4.125,172000,74,26,721,0,30700,0,0.0322
122,92276,4.5,430000,80,43,739,0,41860,0,0.0122
123,92277,4.5,92000,80,12,804,0,26420,0,0.0788
124,92278,4.375,278000,62,48,696,0,14460,0,0.0137
125,92279,4.25,176000,72,19,773,0,19820,0,0.0262
126,92281,4.0,144000,74,25,746,0,30780,0,0.038
127,92282,4.375,53000,23,24,764,0,39460,0,0.0042
128,92283,4.375,145000,70,34,678,0,29340,0,0.0417
129,92284,4.875,165000,94,39,797,0,44180,0,0.2307
130,92285,4.0,325000,54,45,627,0,35620,0,0.0039
131,92286,4.125,298000,71,45,737,0,41620,0,0.0175
132,92287,4.0,242000,31,17,785,0,0,0,0.001
133,92288,4.5,160000,80,44,753,0,32780,0,0.1035
134,92289,4.75,372000,79,45,689,1,0,0,0.0203
135,92290,4.25,107000,75,32,788,0,0,0,0.0782
136,92291,4.0,152000,87,45,687,0,0,0,0.1193
137,92292,4.375,464000,64,32,763,0,35620,0,0.0024
138,92293,4.375,216000,63,44,713,0,46060,0,0.0219
139,92294,4.625,108000,66,17,801,0,34980,0,0.0373
140,92295,3.875,40000,21,45,719,0,12060,0,0.0054
141,92296,4.0,256000,79,16,767,0,23420,0,0.017
142,92297,3.875,94000,59,43,744,0,41620,0,0.0353
143,92298,3.99,100000,58,32,756,0,44180,0,0.0252
144,92299,4.375,356000,80,43,679,0,35620,0,0.0188
145,92300,4.75,285000,80,35,645,0,29180,0,0.0302
146,92301,4.0,560000,68,24,787,0,41940,0,0.001
147,92302,3.875,223000,56,23,753,0,16980,0,0.006
148,92303,4.625,65000,56,39,723,0,18140,0,0.047
149,92305,4.375,327000,88,34,691,0,19820,0,0.0303
150,92306,4.375,229000,90,41,774,0,0,0,0.0984
151,92307,4.125,232000,80,34,694,0,17140,0,0.0348
152,92308,4.0,246000,80,41,724,0,41620,0,0.0372
153,92309,4.0,408000,71,31,760,0,41740,0,0.0047
154,92310,4.25,168000,87,41,721,0,31020,0,0.1132
155,92311,4.375,166000,87,37,734,1,0,0,0.1119
156,92312,4.25,221000,79,38,815,0,30460,0,0.051
157,92313,3.875,375000,67,38,754,0,31080,0,0.0054
158,92314,5.0,104000,80,29,651,0,0,0,0.1154
159,92315,4.5,252000,80,30,734,0,10740,0,0.0342
160,92316,3.875,417000,66,16,767,0,16980,0,0.002
161,92317,3.875,379000,93,33,786,0,38900,0,0.0236
162,92318,4.125,74000,65,30,653,0,38340,0,0.0407
163,92319,3.875,147000,74,30,796,0,19820,0,0.0432
164,92320,4.0,369000,90,31,705,0,12940,0,0.019
165,92321,4.5,139000,80,35,707,1,19100,0,0.0893
166,92322,4.75,100000,80,41,627,0,28140,0,0.1387
167,92323,3.875,231000,77,37,776,0,37980,0,0.0317
168,92324,4.75,175000,67,39,651,0,35620,0,0.0369
169,92325,4.375,417000,80,25,732,0,42660,0,0.0075
170,92326,4.0,301000,85,42,747,0,37100,0,0.0348
171,92327,4.125,417000,50,43,761,0,33460,0,0.0018
172,92329,4.375,155000,75,45,687,0,0,0,0.0711
173,92330,4.375,100000,70,43,647,0,10380,0,0.0719
174,92331,4.125,504000,80,43,757,0,31080,0,0.0057
175,92332,4.0,319000,78,21,779,0,33340,0,0.0114
176,92333,4.375,81000,68,44,692,0,30020,0,0.081
177,92334,4.375,199000,72,29,689,0,39300,0,0.0272
178,92335,3.875,393000,41,32,798,0,35620,0,0.0008
179,92336,3.98,395000,80,32,807,0,31080,0,0.01
180,92337,4.25,180000,77,41,732,0,41620,0,0.0595
181,92338,4.375,65000,60,19,624,0,35840,0,0.0258
182,92339,4.25,69000,55,38,672,0,20740,0,0.0319
183,92340,4.0,417000,19,33,786,0,14460,0,0.0002
184,92341,3.875,115000,82,38,704,1,48620,0,0.095
185,92342,4.125,360000,62,17,799,0,31080,0,0.003
186,92343,4.41,184000,93,37,795,0,11460,0,0.1508
187,92344,4.25,109000,86,17,800,0,48620,0,0.0983
188,92345,4.25,417000,68,38,796,0,26420,0,0.0054
189,92346,4.375,102000,89,33,754,0,19380,0,0.1804
190,92347,3.625,277000,62,7,712,0,32420,0,0.0029
191,92348,4.5,72000,80,28,730,1,16980,0,0.1248
192,92349,4.125,335000,78,45,766,0,47900,0,0.0209
193,92350,4.25,265000,93,33,775,0,36260,0,0.0681
194,92351,3.875,314000,49,46,788,0,31080,0,0.0039
195,92352,4.25,190000,62,28,744,0,28140,0,0.0158
196,92353,4.0,349000,95,44,780,0,33100,0,0.0485
197,92354,4.75,113000,78,41,781,1,38300,0,0.1403
198,92355,3.875,298000,78,15,815,0,0,0,0.0112
199,92356,4.5,75000,60,37,629,0,33340,0,0.0425
200,92357,4.0,114000,80,39,759,0,22540,0,0.1009
201,92358,4.375,115000,89,43,766,0,28020,0,0.2126
202,92359,4.25,109000,55,17,810,0,37980,0,0.0158
203,92360,4.0,221000,67,29,780,0,25540,0,0.016
204,92361,3.875,290000,71,44,774,0,41740,0,0.0168
205,92362,4.0,416000,80,28,790,0,42020,0,0.0074
206,92363,4.125,366000,59,25,749,0,31080,0,0.0028
207,92364,4.0,115000,95,40,755,0,28140,0,0.2245
208,92365,4.875,620000,80,17,748,0,41860,0,0.0015
209,92366,3.75,307000,74,26,772,0,38900,0,0.0098
210,92367,4.125,198000,66,24,789,0,19820,0,0.0169
211,92368,4.0,302000,38,31,798,0,31100,0,0.0015
212,92369,4.0,417000,62,28,800,0,31080,0,0.0024
213,92370,5.0,96000,75,34,757,0,20940,0,0.1223
214,92371,4.5,287000,72,35,641,0,31080,0,0.0159
215,92372,4.125,440000,80,33,746,0,41740,0,0.007
216,92373,4.0,79000,45,38,808,0,0,0,0.0174
217,92375,4.625,151000,74,36,668,0,11020,0,0.0596
218,92376,4.25,311000,75,37,753,0,47900,0,0.0175
219,92377,3.875,339000,57,42,808,0,41940,0,0.0048
220,92378,3.875,282000,47,40,785,0,0,0,0.0037
221,92379,4.375,184000,67,42,761,0,0,0,0.0365
222,92380,4.25,170000,66,20,780,0,12940,0,0.0199
223,92381,4.25,98000,21,34,651,0,41740,0,0.0027
224,92382,3.875,222000,74,22,796,0,29100,0,0.0191
225,92383,4.0,196000,49,28,764,0,14460,0,0.0061
226,92385,4.375,279000,75,39,755,0,41860,0,0.0256
227,92386,4.625,128000,74,28,762,0,19740,0,0.0655
228,92387,3.99,118000,48,35,805,0,40900,0,0.0139
229,92388,3.875,196000,79,30,715,0,37980,0,0.0352
230,92389,4.375,115000,89,41,781,1,40980,0,0.2069
231,92390,4.875,109000,85,38,691,0,39580,0,0.1813
232,92391,4.375,360000,80,34,791,0,45940,0,0.0167
233,92392,4.25,296000,80,38,692,0,42660,0,0.025
234,92393,4.25,338000,57,27,712,0,19740,0,0.0033
235,92394,4.375,486000,54,28,764,0,41740,0,0.001
