iter	Passed	Remaining
0	1	1814
1	3	1707
2	4	1621
3	6	1574
4	7	1549
5	9	1526
6	10	1526
7	12	1515
8	13	1501
9	15	1499
10	16	1489
11	17	1479
12	19	1484
13	20	1474
14	22	1467
15	23	1459
16	25	1456
17	26	1453
18	28	1449
19	29	1446
20	30	1443
21	32	1439
22	33	1434
23	35	1436
24	36	1435
25	38	1434
26	39	1433
27	41	1430
28	42	1428
29	44	1426
30	45	1426
31	47	1426
32	48	1426
33	50	1425
34	51	1425
35	53	1423
36	54	1420
37	56	1417
38	57	1415
39	58	1413
40	60	1411
41	61	1408
42	63	1406
43	64	1403
44	66	1402
45	67	1399
46	68	1398
47	70	1397
48	72	1399
49	73	1397
50	75	1395
51	76	1394
52	77	1391
53	79	1390
54	80	1387
55	82	1386
56	83	1384
57	85	1384
58	86	1381
59	88	1379
60	89	1378
61	90	1375
62	92	1373
63	93	1372
64	95	1371
65	96	1369
66	98	1368
67	99	1366
68	102	1376
69	103	1378
70	105	1382
71	107	1382
72	108	1380
73	110	1379
74	111	1377
75	113	1375
76	114	1373
77	116	1372
78	117	1372
79	119	1370
80	120	1368
81	122	1365
82	123	1363
83	124	1361
84	126	1359
85	127	1357
86	129	1355
87	130	1354
88	132	1353
89	133	1351
90	135	1350
91	136	1348
92	138	1346
93	139	1343
94	140	1341
95	142	1340
96	143	1337
97	145	1337
98	146	1335
99	148	1333
100	149	1332
101	151	1330
102	152	1328
103	153	1326
104	155	1324
105	156	1322
106	158	1320
107	159	1319
108	161	1317
109	162	1315
110	164	1314
111	166	1316
112	167	1315
113	169	1313
114	170	1312
115	172	1311
116	173	1309
117	174	1307
118	176	1305
119	177	1304
120	179	1302
121	180	1301
122	182	1300
123	183	1298
124	185	1296
125	186	1294
126	188	1292
127	189	1291
128	191	1289
129	192	1288
130	193	1286
131	195	1285
132	196	1283
133	198	1281
134	199	1279
135	201	1278
136	202	1276
137	204	1274
138	205	1273
139	206	1271
140	208	1269
141	209	1268
142	211	1266
143	212	1264
144	214	1263
145	215	1261
146	217	1260
147	218	1258
148	220	1257
149	221	1255
150	222	1253
151	224	1251
152	225	1250
153	227	1249
154	228	1248
155	230	1247
156	231	1245
157	233	1243
158	234	1241
159	236	1240
160	237	1238
161	239	1236
162	240	1235
163	242	1233
164	243	1232
165	244	1230
166	246	1230
167	248	1228
168	249	1226
169	250	1225
170	252	1223
171	253	1221
172	255	1223
173	258	1227
174	260	1228
175	262	1229
176	264	1228
177	265	1227
178	267	1225
179	268	1224
180	270	1222
181	271	1221
182	273	1219
183	274	1217
184	276	1216
185	277	1214
186	279	1213
187	281	1217
188	283	1217
189	285	1216
190	287	1216
191	288	1215
192	290	1213
193	291	1211
194	293	1210
195	294	1209
196	296	1208
197	298	1207
198	299	1205
199	301	1204
200	302	1202
201	304	1201
202	305	1198
203	306	1197
204	308	1195
205	309	1193
206	311	1192
207	312	1190
208	314	1189
209	315	1187
210	317	1186
211	318	1184
212	319	1182
213	321	1180
214	322	1178
215	324	1176
216	325	1175
217	327	1173
218	328	1172
219	330	1170
220	331	1169
221	333	1168
222	334	1167
223	337	1167
224	339	1169
225	340	1167
226	342	1165
227	344	1165
228	345	1163
229	347	1162
230	348	1160
231	350	1159
232	351	1157
233	353	1155
234	354	1153
235	355	1152
236	357	1150
237	359	1149
238	360	1148
239	361	1146
240	363	1144
241	364	1142
242	366	1141
243	367	1139
244	369	1137
245	370	1135
246	371	1133
247	373	1132
248	375	1132
249	376	1130
250	378	1128
251	379	1127
252	381	1125
253	382	1123
254	384	1122
255	385	1120
256	386	1118
257	388	1117
258	389	1115
259	391	1113
260	392	1112
261	394	1110
262	395	1108
263	397	1107
264	398	1105
265	399	1103
266	401	1101
267	402	1100
268	404	1099
269	405	1097
270	407	1096
271	409	1095
272	410	1093
273	412	1091
274	413	1090
275	414	1088
276	416	1086
277	417	1084
278	419	1083
279	420	1081
280	422	1080
281	423	1078
282	425	1077
283	426	1075
284	427	1073
285	429	1071
286	430	1070
287	432	1068
288	433	1066
289	435	1065
290	436	1064
291	438	1062
292	439	1060
293	441	1059
294	442	1057
295	444	1056
296	445	1054
297	447	1053
298	448	1051
299	449	1049
300	451	1048
301	452	1046
302	454	1045
303	455	1043
304	457	1042
305	458	1040
306	460	1038
307	461	1037
308	463	1035
309	464	1033
310	465	1032
311	467	1030
312	468	1029
313	470	1027
314	471	1025
315	473	1024
316	474	1022
317	476	1021
318	477	1019
319	479	1018
320	480	1016
321	482	1015
322	483	1013
323	485	1012
324	486	1010
325	488	1008
326	489	1007
327	491	1006
328	492	1004
329	493	1002
330	495	1001
331	496	999
332	498	998
333	499	996
334	501	995
335	502	993
336	504	991
337	505	990
338	507	988
339	508	987
340	510	985
341	511	984
342	513	982
343	514	981
344	516	979
345	517	978
346	518	976
347	520	975
348	522	973
349	523	972
350	525	970
351	526	969
352	528	967
353	529	966
354	531	964
355	532	963
356	534	961
357	535	960
358	537	958
359	538	957
360	539	955
361	541	954
362	542	952
363	544	951
364	545	949
365	547	948
366	548	946
367	550	944
368	551	943
369	553	941
370	554	940
371	556	938
372	557	937
373	559	935
374	560	934
375	561	932
376	563	931
377	564	929
378	566	927
379	567	926
380	569	924
381	570	923
382	572	921
383	573	919
384	574	918
385	576	916
386	577	915
387	579	913
388	580	912
389	582	910
390	583	909
391	585	907
392	586	906
393	588	905
394	590	903
395	591	902
396	593	902
397	595	900
398	596	899
399	598	897
400	599	896
401	601	894
402	603	893
403	604	891
404	606	890
405	607	888
406	609	887
407	610	885
408	611	884
409	613	882
410	614	880
411	616	879
412	618	878
413	619	877
414	621	875
415	622	874
416	624	872
417	625	871
418	627	869
419	628	867
420	629	866
421	631	864
422	632	863
423	634	861
424	635	860
425	637	858
426	638	856
427	640	855
428	641	853
429	642	852
430	644	850
431	645	848
432	647	847
433	648	845
434	649	844
435	651	842
436	653	841
437	654	839
438	656	838
439	657	836
440	658	835
441	660	833
442	661	831
443	663	830
444	664	828
445	665	827
446	667	826
447	670	825
448	671	824
449	672	822
450	674	820
451	675	819
452	677	817
453	678	816
454	680	814
455	681	813
456	683	811
457	684	810
458	686	808
459	687	807
460	689	805
461	690	804
462	692	802
463	693	801
464	694	799
465	696	798
466	697	796
467	699	794
468	700	793
469	702	791
470	703	790
471	705	788
472	706	787
473	707	785
474	709	783
475	710	782
476	712	780
477	713	779
478	715	777
479	716	776
480	718	774
481	719	773
482	721	771
483	722	770
484	723	768
485	725	767
486	726	765
487	728	764
488	729	762
489	731	761
490	732	759
491	734	758
492	735	756
493	737	755
494	738	753
495	740	752
496	741	750
497	743	749
498	744	747
499	746	746
500	747	744
501	748	743
502	750	741
503	751	739
504	753	738
505	754	736
506	756	735
507	757	733
508	759	732
509	760	730
510	762	729
511	763	727
512	765	726
513	766	724
514	767	723
515	769	721
516	770	720
517	772	718
518	773	717
519	775	715
520	776	714
521	778	712
522	779	711
523	781	709
524	782	707
525	783	706
526	785	704
527	786	703
528	788	701
529	789	700
530	791	698
531	792	697
532	794	695
533	795	694
534	797	692
535	798	691
536	800	689
537	801	688
538	803	686
539	804	685
540	806	683
541	807	682
542	808	680
543	810	679
544	811	677
545	813	676
546	814	674
547	816	673
548	818	672
549	819	670
550	821	669
551	822	667
552	824	666
553	825	664
554	827	663
555	828	662
556	831	660
557	832	659
558	834	658
559	836	656
560	837	655
561	838	653
562	840	652
563	841	650
564	843	649
565	844	647
566	846	646
567	848	645
568	849	643
569	851	642
570	852	640
571	854	639
572	855	637
573	856	635
574	858	634
575	859	633
576	861	631
577	862	630
578	864	628
579	865	626
580	867	625
581	868	623
582	870	622
583	871	620
584	873	619
585	874	617
586	875	616
587	877	614
588	879	613
589	880	611
590	881	610
591	883	608
592	884	607
593	886	605
594	887	604
595	889	602
596	890	601
597	892	599
598	893	598
599	895	596
600	896	595
601	898	593
602	899	592
603	900	590
604	902	589
605	903	587
606	905	586
607	906	584
608	908	583
609	909	581
610	911	580
611	913	578
612	914	577
613	916	575
614	917	574
615	918	572
616	920	571
617	921	569
618	923	568
619	924	566
620	926	565
621	927	563
622	929	562
623	930	560
624	932	559
625	933	558
626	935	556
627	936	554
628	938	553
629	939	551
630	941	550
631	942	548
632	944	547
633	945	545
634	947	544
635	948	542
636	950	541
637	951	539
638	953	538
639	954	536
640	956	535
641	957	534
642	959	532
643	960	531
644	962	529
645	963	528
646	965	526
647	966	525
648	968	523
649	969	522
650	971	520
651	972	519
652	974	517
653	975	516
654	977	514
655	978	513
656	980	511
657	981	510
658	983	508
659	984	507
660	986	505
661	987	504
662	989	502
663	990	501
664	992	499
665	993	498
666	995	496
667	996	495
668	998	493
669	999	492
670	1001	490
671	1002	489
672	1005	488
673	1006	486
674	1007	485
675	1009	483
676	1010	482
677	1012	480
678	1013	479
679	1015	477
680	1016	476
681	1018	474
682	1019	473
683	1021	471
684	1022	470
685	1024	468
686	1025	467
687	1027	465
688	1028	464
689	1030	462
690	1031	461
691	1033	459
692	1034	458
693	1035	456
694	1037	455
695	1038	453
696	1040	452
697	1041	450
698	1043	449
699	1044	447
700	1046	446
701	1047	444
702	1049	443
703	1050	441
704	1051	440
705	1053	438
706	1054	437
707	1056	435
708	1057	434
709	1059	432
710	1060	431
711	1062	429
712	1063	428
713	1064	426
714	1066	425
715	1067	423
716	1069	422
717	1070	420
718	1072	419
719	1073	417
720	1075	416
721	1076	414
722	1078	413
723	1079	411
724	1081	410
725	1082	408
726	1084	407
727	1085	405
728	1086	404
729	1088	402
730	1090	401
731	1091	399
732	1093	398
733	1094	396
734	1096	395
735	1097	393
736	1099	392
737	1101	390
738	1102	389
739	1103	387
740	1105	386
741	1107	385
742	1108	383
743	1110	381
744	1111	380
745	1113	378
746	1114	377
747	1115	375
748	1117	374
749	1118	372
750	1120	371
751	1121	370
752	1123	368
753	1124	366
754	1126	365
755	1127	363
756	1129	362
757	1130	360
758	1132	359
759	1133	357
760	1134	356
761	1136	354
762	1137	353
763	1139	351
764	1140	350
765	1142	348
766	1144	347
767	1145	346
768	1147	344
769	1148	343
770	1150	341
771	1151	340
772	1153	338
773	1155	337
774	1156	335
775	1157	334
776	1159	332
777	1160	331
778	1162	329
779	1163	328
780	1165	326
781	1166	325
782	1167	323
783	1169	322
784	1170	320
785	1172	319
786	1173	317
787	1175	316
788	1176	314
789	1178	313
790	1179	311
791	1180	310
792	1182	308
793	1183	307
794	1185	305
795	1186	304
796	1188	302
797	1189	301
798	1190	299
799	1192	298
800	1193	296
801	1195	295
802	1196	293
803	1198	292
804	1199	290
805	1201	289
806	1202	287
807	1203	286
808	1204	284
809	1206	282
810	1207	281
811	1209	279
812	1210	278
813	1212	276
814	1213	275
815	1215	273
816	1216	272
817	1218	271
818	1219	269
819	1220	268
820	1222	266
821	1223	265
822	1225	263
823	1226	262
824	1228	260
825	1229	259
826	1231	257
827	1232	256
828	1234	254
829	1236	253
830	1238	251
831	1240	250
832	1241	248
833	1243	247
834	1244	245
835	1246	244
836	1247	242
837	1249	241
838	1250	239
839	1252	238
840	1253	236
841	1254	235
842	1256	233
843	1257	232
844	1259	230
845	1260	229
846	1262	227
847	1263	226
848	1265	225
849	1266	223
850	1268	222
851	1269	220
852	1270	219
853	1272	217
854	1273	216
855	1275	214
856	1276	213
857	1278	211
858	1279	210
859	1281	208
860	1282	207
861	1284	205
862	1285	204
863	1287	202
864	1288	201
865	1290	199
866	1291	198
867	1293	196
868	1294	195
869	1296	193
870	1297	192
871	1298	190
872	1300	189
873	1301	187
874	1303	186
875	1304	184
876	1306	183
877	1307	181
878	1309	180
879	1311	178
880	1312	177
881	1314	175
882	1315	174
883	1317	172
884	1318	171
885	1320	169
886	1321	168
887	1323	166
888	1324	165
889	1326	163
890	1327	162
891	1329	160
892	1330	159
893	1332	157
894	1333	156
895	1335	154
896	1336	153
897	1338	151
898	1339	150
899	1341	149
900	1342	147
901	1344	146
902	1345	144
903	1347	143
904	1349	141
905	1350	140
906	1351	138
907	1353	137
908	1354	135
909	1356	134
910	1357	132
911	1358	131
912	1360	129
913	1361	128
914	1363	126
915	1364	125
916	1366	123
917	1367	122
918	1369	120
919	1370	119
920	1372	117
921	1373	116
922	1375	114
923	1376	113
924	1377	111
925	1379	110
926	1380	108
927	1382	107
928	1383	105
929	1385	104
930	1386	102
931	1388	101
932	1389	99
933	1391	98
934	1392	96
935	1394	95
936	1395	93
937	1397	92
938	1398	90
939	1400	89
940	1401	87
941	1403	86
942	1404	84
943	1405	83
944	1407	81
945	1408	80
946	1410	78
947	1411	77
948	1413	75
949	1414	74
950	1416	72
951	1417	71
952	1418	69
953	1420	68
954	1421	66
955	1423	65
956	1424	64
957	1425	62
958	1427	61
959	1429	59
960	1430	58
961	1431	56
962	1433	55
963	1434	53
964	1436	52
965	1437	50
966	1439	49
967	1440	47
968	1442	46
969	1443	44
970	1445	43
971	1446	41
972	1448	40
973	1449	38
974	1450	37
975	1452	35
976	1453	34
977	1455	32
978	1456	31
979	1458	29
980	1459	28
981	1461	26
982	1462	25
983	1464	23
984	1465	22
985	1467	20
986	1468	19
987	1469	17
988	1471	16
989	1472	14
990	1474	13
991	1476	11
992	1477	10
993	1478	8
994	1480	7
995	1481	5
996	1483	4
997	1484	2
998	1486	1
999	1487	0
